Period,As_Of_Date,StoreID,Net_Sales,Weekly_AUV,Comp_Net_Sales_CY_vs_PY,Comp_Net_Sales_PY,SSS_Pct,Comp_Ticket_Count_CY_vs_PY,Comp_Ticket_Count_PY,SST_Pct,EBITDA_Dollars,EBITDA_Sales_Base,EBITDA_Pct,OSAT_N,OSAT_Count,OSAT_Pct,Accuracy_N,Accuracy_Count,Accuracy_Pct,FSA_Score,Ops_Ex_Score,Ops_Ex_Score_Decile,FSA_Score_Decile,EBITDA_Pct_Decile,OSAT_Score_Decile,Accuracy_Score_Decile,SSS_Pct_Decile,SST_Pct_Decile,Total_Score,Total_Score_Decile
2026 YTD,2026-06-02,18013,312193.91,24281.7484,30642.18,281551.73,0.1088,1579,12727,0.1241,14921.19,95320.2,0.1565,30,17.099999999999998,0.57,30,21.0,0.7,5,23.0,5,7,9,1,1,,,,
2026 YTD,2026-06-02,18020,369885.39,28768.8639,47208.3,322677.09,0.1463,2255,14556,0.1549,16170.45,113241.13,0.1428,29,20.009999999999998,0.69,29,22.04,0.76,9,,5,7,9,1,1,,,,
2026 YTD,2026-06-02,18031,284110.6,22097.4908,8461.58,275649.02,0.0307,604,12951,0.0466,6926.68,94380.62,0.0734,36,20.88,0.58,36,27.0,0.75,7,,5,7,9,1,1,,,,
2026 YTD,2026-06-02,18024,334860.71,26044.7222,-4078.61,338939.32,-0.012,185,15792,0.0117,20711.03,104422.78,0.1983,36,20.160000000000004,0.56,36,23.04,0.64,12,,5,7,9,1,1,,,,
2026 YTD,2026-06-02,18030,190537.05,14819.5481,3836.43,186700.62,0.0205,479,9635,0.0497,-7068.5,61086.94,-0.1157,18,5.94,0.33,18,7.0200000000000005,0.39,11,,5,7,9,1,1,,,,
